time,open,high,low,close,volume
2022-04-16 00:00:00,3040.57000000,3050.12000000,3034.98000000,3040.40000000,13463.26810000
2022-04-16 02:00:00,3040.39000000,3045.96000000,3035.37000000,3038.29000000,10264.02030000
2022-04-16 04:00:00,3038.29000000,3048.52000000,3037.11000000,3041.76000000,9576.28780000
2022-04-16 06:00:00,3041.77000000,3041.77000000,3033.27000000,3034.64000000,7615.13090000
2022-04-16 08:00:00,3034.64000000,3041.84000000,3027.71000000,3033.73000000,13449.24320000
2022-04-16 10:00:00,3033.74000000,3047.11000000,3032.69000000,3039.48000000,11951.83790000
2022-04-16 12:00:00,3039.48000000,3046.18000000,3034.34000000,3041.54000000,15089.10550000
2022-04-16 14:00:00,3041.53000000,3058.90000000,3010.03000000,3017.50000000,35105.76950000
2022-04-16 16:00:00,3017.51000000,3029.04000000,3013.79000000,3020.16000000,13265.81740000
2022-04-16 18:00:00,3020.16000000,3028.90000000,3017.34000000,3024.39000000,6917.01440000
2022-04-16 20:00:00,3024.40000000,3054.53000000,3022.71000000,3050.12000000,12974.60710000
2022-04-16 22:00:00,3050.13000000,3086.10000000,3050.12000000,3059.30000000,26680.31440000
2022-04-17 00:00:00,3059.30000000,3064.50000000,3053.97000000,3057.34000000,9448.07340000
2022-04-17 02:00:00,3057.34000000,3057.73000000,3022.00000000,3029.38000000,16607.19830000
2022-04-17 04:00:00,3029.37000000,3046.21000000,3028.80000000,3042.22000000,8844.99310000
2022-04-17 06:00:00,3042.22000000,3044.92000000,3032.03000000,3037.97000000,8265.98250000
2022-04-17 08:00:00,3037.96000000,3054.83000000,3037.48000000,3043.10000000,12068.61810000
2022-04-17 10:00:00,3043.11000000,3048.66000000,3038.02000000,3048.05000000,8534.99090000
2022-04-17 12:00:00,3048.05000000,3083.00000000,3042.80000000,3061.27000000,37863.69040000
2022-04-17 14:00:00,3061.27000000,3080.60000000,3052.94000000,3073.00000000,25898.26680000
2022-04-17 16:00:00,3073.01000000,3078.48000000,3043.37000000,3050.37000000,19031.69700000
2022-04-17 18:00:00,3050.37000000,3059.81000000,3022.96000000,3052.08000000,26081.47670000
2022-04-17 20:00:00,3052.08000000,3057.57000000,3037.05000000,3054.83000000,9634.78420000
2022-04-17 22:00:00,3054.84000000,3077.46000000,2981.70000000,2988.06000000,61492.30260000
2022-04-18 00:00:00,2988.07000000,2998.16000000,2977.00000000,2989.74000000,27171.68510000
2022-04-18 02:00:00,2989.74000000,3002.39000000,2987.00000000,2995.18000000,17398.36170000
2022-04-18 04:00:00,2995.17000000,2995.75000000,2901.06000000,2914.90000000,93878.52190000
2022-04-18 06:00:00,2914.90000000,2924.46000000,2883.22000000,2892.12000000,37160.98870000
2022-04-18 08:00:00,2892.13000000,2908.89000000,2888.15000000,2908.62000000,25727.99710000
